QUEST_20150317_000001	Bitte wähle den Benutzer, dies erfordert ein Quest-Update.
QUEST_20150714_002089	Ich erinnere mich an etwas, jetzt wo ich gerade mit dir spreche.{nl}Vielleicht wusste Göttin Laima alles im voraus über die Katastrophe.
QUEST_20150714_002090	Ich bete jeden Tag zu Göttin Gabija. Es hält das Haus warm.{nl}Wie du vielleicht schon weißt, kontrolliert Göttin Gabija das Feuer und ich bin Hausfrau, dadurch bin ich dem Feuer sehr nahe.
QUEST_20150714_002091	If you cleverly use the dry air that forms around areas of severe cold, {nl}you'd be able to freeze any object even in a desert. {nl}{nl}However, if you can't receive the blessing from the goddess, {nl}it won't be possible to make that kind of air.
QUEST_20150714_002092	The Records of the Master Himself
QUEST_20150714_002093	I've studied magic for a long time as a sorcerer. {nl}From the process, the advancement of sorcery can't be explained without relating with demons, {nl}and since they've fought against the goddesses, {nl}the field has been widened to the study of the goddesses as well.
QUEST_20150714_002094	While I was doing that, I learned of the field of accumulation. {nl}It's an empty field. The theory of the beginning and the end is a fantastic library,{nl}at the boundary of transcendency, all for one purpose.
QUEST_20150714_002095	Records about Disciple Laius
QUEST_20150714_002096	My other disciple, Laius, is clever and a fast learner but has an insatiable greed for knowledge. {nl}I am worried that he may fail the task. {nl}A scholar should always try to learn, but obsessing about it will make one walk the wrong path.
QUEST_20150714_002097	Despite that, Laius is a disciple I acknowledge. {nl}His passion towards me and knowledge is just being expressed in a wrong way.
QUEST_20150714_002098	I hope Laius realizes this himself. {nl}Since he is my disciple, I believe he can do it.
QUEST_20150714_002099	Records about Disciple Hones
QUEST_20150714_002100	Among my disciples, two of them followed me until my later years and,{nl}will be my successors after my death.
QUEST_20150714_002101	Hones, who is one of them, is lacking in scholarly intelligence. {nl}However, I am sure his faithfulness and efforts will help him follow my teachings.
QUEST_20150714_002102	Records of the Hidden Object
QUEST_20150714_002103	...I don't know whether I should thank the goddesses for this discovery or not. My greed for knowledge can ruin the world.
QUEST_20150714_002104	I can't sleep well for fear of my research results being spread by demon investigation. {nl}That's why I wish to pass the rest of the research to the one I can trust.
QUEST_20150714_002105	The Inheritance of the Master
QUEST_20150714_002106	As the priests and theologians know, Goddess Vibora is in charge of the library,{nl}where all records of the world are stored. I was able to check several records in that {nl}fantastic library after the research and long studying I can't tell anyone about at the moment. {nl}
QUEST_20150714_002107	From the many records of the goddess, I was only able to see a few. {nl}Nevertheless, the fact that I checked the existence of the records with the important facts {nl}was astonishing. {nl}
QUEST_20150714_002108	The record which I can use to find the whereabouts of all the goddesses... {nl}If one had such secret information, it would be possible to predict the goddesses' {nl}future locations by analyzing what they did in the past. {nl}Because of that, their future plans may be disturbed or put at risk. {nl}
QUEST_20150714_002109	This is more dangerous because, if the demons find out the truth, {nl}their desire for the library will grow and, if they do acquire that knowledge, {nl}the world will be swallowed by evil. That's why - {nl}
QUEST_20150714_002110	(The rest is blurred and unreadable.)
QUEST_20150714_002111	Disciple Hones' Memo
QUEST_20150714_002112	If you want to find the master's research, you have to find three spatial magic stones {nl}and activate the fusion device.
QUEST_20150714_002113	The Spatial Magie Edelstein of Contract is at the reception room. {nl}The monsters probably have the fragments. {nl}Collect all the fragments of the magical stones and go to the{nl}preserved magic field in the Grave of the Saints to restore them.
QUEST_20150714_002114	The Spatial Magie Edelstein of Offer is with the Templeshooter. {nl}The Wisdom Guiding Stone will help you find the hidden Templeshooter.
QUEST_20150714_002115	The Spatial Magie Edelstein of Promise can be found in Siaura Mine. {nl}Use the Seelenkristall on the monsters first to collect their Kondensierter Spite. {nl}With that, destroy the stones in Siaura Mine. {nl}Black Chasers will pursue from behind, avoid them and go to the end of the mine{nl}to find the magic gem.
QUEST_20150714_002116	When you find all three spatial magic gems, go to the fusion device again,{nl}and place the magic gems there. {nl}The path to the master's research will then open at the Laudi Tower.
QUEST_20150714_002117	Spirit
QUEST_20150714_002118	Please... save us from this horrible contract... {nl}Remove us from this... Contract of Enunciation...
QUEST_20150714_002119	The Contract of Enunciation... {nl} we'll vanish if we speak... I have no regrets...
QUEST_20150714_002120	Eternal imprisonment... from the restraints of the contract... {nl}Break... the Pot of Silence...
QUEST_20150714_002121	The Pot of Silence is at Memum Corridor... {nl}I'm so... exhausted...
QUEST_20150714_002122	Where to start...
QUEST_20150714_002123	I was a disciple of Agailla Flurry when I was alive. {nl}I didn't have any magical abilities so I couldn't use magic.
QUEST_20150714_002124	That's why I survived Helgasercle's wrath. {nl}She must've thought she didn't have to kill me since I wasn't able to use magic.
QUEST_20150714_002125	I am confident I am better when it comes to theories than other disciples... {nl}That's why I studied magic. And in my studies, I learned of the magic stone of interaction.
QUEST_20150714_002126	I came here when Helgasercle attacked the Mage Tower. {nl}I thought that if I could use the magic stone of interaction, I'd be able to use magic.
QUEST_20150714_002127	But, Archon drove me away from the Mage Tower. {nl}Due to this disturbance, the magic stone activated defensive magic, linking my,{nl}and Archon's spirit to each other.
QUEST_20150714_002128	As a result, Archon was sealed and my body disappeared without a trace. {nl}We became shackled to each other.
QUEST_20150714_002129	I've been tied here for hundreds of years... {nl}Since I can't do anything with my astral body.
QUEST_20150714_002130	The bigger problem is that Archon was released as well. {nl}I lost the body, but Archon, who is a demon, is still alive.
QUEST_20150714_002131	Memorial Stone
QUEST_20150714_002132	By avoiding the eyes of Helgasercle, I was able to come here to continue my research. {nl}I needed to find a way. A way to reduce the power of demons and increase that magical power.
QUEST_20150714_002133	By my name, Valius, the one who walks the way of Linker, {nl}I swear that I will not surrender to the demons.
QUEST_20150714_002134	I've made many magical tools, but I wasn't able to repel the attacks of the demons. {nl}Without checking out the result, I close my eyes.
QUEST_20150714_002135	Records of Investigation
QUEST_20150714_002136	The basics of Linker magic are to find the common factors in each others' spirits. {nl}So it is impossible if the acceptor does not possess any magical abilities or bases. {nl}
QUEST_20150714_002137	I've completed the first stage magic stone. {nl}It still does not satisfy the previous objective of delivering the perfect magic,{nl}and magical power somewhat.{nl}But now, at last it is possible to accept Linker Magie even without magical ability.{nl}
QUEST_20150714_002138	Proposal
QUEST_20150714_002139	If a magician finds a way to share all his abilities and knowledge with another, {nl}then even those without magical abilities can become a strong magician,{nl}within a short period of time.
QUEST_20150714_002140	This way, you'd be able to hide from the eyes of Helgasercle,{nl}who is extremely afraid of the disciple of Agailla Flurry appearing.
QUEST_20150714_002141	However, I'm not sure if this is at all possible or whether or not it will have any side effects.
QUEST_20150714_002142	Design Proposal
QUEST_20150714_002143	The magic stone of the interaction can be made to work on the behalf of a Linker. {nl}However, maintaining the stone of interaction requires a considerable amount of magical power.
QUEST_20150714_002144	Hence, we decided to maintain the magic stone of the interaction {nl}with 12 regenerating magical power stones. {nl}If no problems arise, we will be able to maintain it, but if the magical power supply is cut, {nl}it won't last long.
QUEST_20150714_002145	Adrijus' Notice Board
QUEST_20150714_002146	I am looking for a stone rubbing of the tablet at the central sanctum. {nl}If you find any tablets with writings engraved, make a rubbing off of it. {nl}- Adrijus
QUEST_20150714_002147	Stained Tablet
QUEST_20150714_002148	It seems that someone has already made a rubbing since there is a vague trace of ink. {nl}Shall I read it?
QUEST_20150714_002149	King Kadumel finally dies.
QUEST_20150714_002150	Instead of the Mage Tower, the Tower of Fire would be a more fitting name for Flurry's tower.
QUEST_20150714_002151	This is a very secluded area so monsters usually prey around here. {nl}Be careful around here.
QUEST_20150714_002152	Research Records of Demetrius
QUEST_20150714_002153	In ancient times, humans lived with the goddesses. {nl}When I first heard of this piece of folklore, {nl}I thought it was made up out of respect for the goddesses. {nl}{nl}I started to investigate what historic background caused such reverence, {nl}as well as why this myth was created.
QUEST_20150714_002154	I increased the extent of my research. {nl}I traveled to many regions of the kingdom and collected similar cases. {nl}And I started to believe that this story was part of a bigger truth rather {nl}than just a small truth covered in fabrication.
QUEST_20150714_002155	The facts that we've discovered so far are thus: {nl}{nl}In the beginning, or a period not that far from the beginning, {nl}all humans used to live with the goddesses underground. {nl}I suppose the goddesses used to be more directly involved with humans. {nl}I have no idea why but soon, the humans left that place and scattered across the land.
QUEST_20150714_002156	This movement was made very naturally. {nl}If that hadn't been the case, then there must have been conflicts, {nl}and more fables would have been created as a result.
QUEST_20150714_002157	I believe the goddesses erased all memory and records of that time completely. {nl}However, we can't deny the possibility that another reason may exist {nl}due to the fact that this legend still remains despite the authority of the great goddesses.
QUEST_20150714_002158	And this is a very cautious prediction, but the creatures that we call demons{nl}may exist underground. {nl}{nl}Though that theory is hard to accept when we think about all the facts {nl}that are recorded in history and the present.
QUEST_20150714_002159	I can smell many Avietes. I heard they're effective... Could you share them with us?
QUEST_20150714_002160	Thank you. I will give you as many as you need. {nl}You will be successful.
QUEST_20150714_002161	I wanted to eat it...
QUEST_20150714_002162	You're not collecting Avietes?
QUEST_20150714_002163	I'll give them to you. {nl}You will be successful.
QUEST_20150714_002164	Our hope will definitely come true.
QUEST_20150714_002165	I trust Horaceus.
QUEST_20150714_002166	I'll cheer up and smile until the day comes.
QUEST_20150714_002167	I guess I'll take this tombstone rubbing to the person who wants it.
QUEST_20150714_002168	Since I've already made the rubbing, I'll give it to the person who wants it.
QUEST_20150714_002169	Copy of Prediction
QUEST_20150714_002170	Death begets death.
QUEST_20150714_002171	I am busy right now. We better do it later.
QUEST_20150714_002172	Ah, you're the one Adrijus sent. {nl}I've obtained the diluting solution he ordered. {nl}Be careful not to break the glass.
QUEST_20150714_002173	One glass of diluting solution will be enough.
QUEST_20150714_002174	Epitaph of Juan
QUEST_20150714_002175	I lie here without yet creating thirteen thousand pieces of armor. {nl}I hope to finish them alongside the goddesses.
QUEST_20150714_002176	I can hear a whisper in my head.
QUEST_20150714_002177	Please install the device I gave you in the 2nd district of Crystal Mine.
QUEST_20150714_002178	The location is Sidabro Rest Place in Vejo Ravine. {nl}I hope he's still alive.
QUEST_20150714_002179	Klaipeda Market
QUEST_20150714_002180	Give me the effigy. I shall calm the spirits.
QUEST_20150714_002181	The monsters will feel threatened by the energies that spurt out from the crystals {nl}containing my authority and begin their attack.
QUEST_20150714_002182	Please protect the crystals so that they may produce my authority, {nl}and spread it to Sirdgela Forest.
QUEST_20150714_002183	You prepared this, brother? You're truly a great man.
QUEST_20150714_002184	I can sense the wrath of the spirits.
QUEST_20150714_002185	Incense Burner
QUEST_20150714_002186	The scent of the incense is spreading from the Incense Burner.
QUEST_20150714_002187	I can feel the spirits wailing.
QUEST_20150714_002188	I can feel the pain of the spirits.
QUEST_20150714_002189	I can feel the regrets of the spirits.
QUEST_20150714_002190	The seal is not yet ready? {nl}It pains me so that you are the only one I can trust.
QUEST_20150714_002191	Can you lay the villagers' spirits to rest in peace?
QUEST_20150714_002192	The Basics of Ignition
QUEST_20150714_002193	Ignition differs by elements, but with the blessing from the goddess, there may be cases where we can ignore that. {nl}To do so, we should try hard to achieve the scholarly knowledge and the faithfulness to the goddesses.
QUEST_20150714_002194	1. Dried environment{nl}2. Something that can be ridden on. {nl}3. Enough mana. {nl}4. The blessing of the goddesses.
QUEST_20150714_002195	Flurry... turned into a handful of ashes by illuminating a great light. {nl}Did that demon do something? {nl}I had no idea, being a mere probationary wizard.
QUEST_20150714_002196	[Caution]{nl}- It is the last stage of the experiment. Be cautious when handling it -
QUEST_20150714_002197	1. Do not overreact Schilt Essences into a sample of Petrification Detector. {nl}2. Do not keep the Schilt Amplifier activated for a long time. {nl}3. Even if you become immune to petrification using the Schilt Amplifier, it will only be temporary, so do not stay in the lab room for too long.
QUEST_20150714_002198	[Usage Limit]{nl}- Due to a recent incident, we sealed the isolated lab room. {nl}Only people permitted by the chief can enter the room via the portal.
QUEST_20150714_002199	[Method of Usage]{nl}1. Use the Schilt Essences on the portal generator. {nl}2. One person can enter after a certain number of Essences are used. {nl}3. When more than one person enters simultaneously, please notify and ask the chief.
QUEST_20150714_002200	Petrification in Progress
QUEST_20150714_002201	My body is becoming stiff.
QUEST_20150714_002202	We can move faster.
QUEST_20150714_002203	We tried our best to impede them until your arrival. {nl}But as you can see, we're at our limit.
QUEST_20150714_002204	I've received your letter. {nl}Now is the chance the goddesses gave to you since Legwyn is dead. {nl}It's great to hear that the lads of the Legwyn family trust you.
QUEST_20150714_002205	I've changed the name on this certificate for you so return the rest of documents to me. {nl}I guarantee either his assets or his land document. {nl}Please pay me the deposit as you did last time.
QUEST_20150714_002206	Anyone under the Legwyn name can't be left alive. Even their servants. {nl}Please, get rid of Legwyn's daughter. She is the Squire Master.
QUEST_20150714_002207	Mysterious Man
QUEST_20150714_002208	It seems that you don't have a problem moving your body. {nl}You almost got into deep trouble.
QUEST_20150714_002209	Ah, I am Mintz. I lead the Hunters. {nl}If it's fine with you, I want to have a talk at my camp at Dumvala Crossroads.
QUEST_20150714_002210	For now, there is no way to help the patient.
QUEST_20150714_002211	Have you tried giving the antidote?
QUEST_20150714_002212	Please go to Viltis Forest after persuading the senior monk.
QUEST_20150714_002213	Thanks! {nl}I ran away without noticing my bag was ripped by the thorns.
QUEST_20150714_002214	We ran away from Laukyme Swamp. {nl}When you find the pages of the documents from Ershike Path to Dumvala Crossroads, {nl}please bring them to me.
QUEST_20150714_002215	No. That cannot be done. {nl}I don't have anything more to say about the expulsion, {nl}until I retake the monastery and save the abbot.
QUEST_20150714_002216	What? You're going with the Hunters? {nl}Well... I don't approve, but I guess I can't do anything about it.{nl}Since Marko told you that he'd go with them... Okay.
QUEST_20150714_002217	Are you going to retake the monastery with the Hunters?{nl}That's good news, but I guess that means Marko changed his mind, huh?
QUEST_20150714_002218	I'm worried about the abbot of the monastery who should be at the prayer room. {nl}I don't know if the Hunters can be trusted...
QUEST_20150714_002219	I don't know if it's going to be okay. {nl}It feels like the outsiders are swinging us around... {nl}I know Marko is clever, so we should trust him.
QUEST_20150714_002220	At any rate, we will trust Marko's orders. {nl}It's good that we've got reliable reinforcements now.
QUEST_20150714_002221	Also, it's important to retake the monastery as soon as possible. {nl}The safety of the monastery's is critical.
QUEST_20150714_002222	Unknown traveler. Falls down under the nameless poison.{nl}Now, stop this journey and rest in peace in the arms of the goddesses.
QUEST_20150714_002223	Biblam the Farmer. {nl}He, who took care of his neighbors more than himself, rests here.
QUEST_20150714_002224	I'm going to go to the arms of you who I longed for for a long time. {nl}With your bow and dagger. {nl}{nl}From, {nl}Siana.
QUEST_20150714_002225	The young tailor, Godan, who was born in Fedimian, rests in the Tilda Monastery.
QUEST_20150714_002226	Mighty goddess. {nl}I am finally free. {nl} - Tenant Farmer Tila
QUEST_20150714_002227	Thank you. {nl}If their number could be reduced by even a bit, I'd feel more relaxed.
QUEST_20150714_002228	Thanks. {nl}If you see any bubble that spurts out air, it means that there are spiny water chestnuts. {nl}Please bring me the roots of those.
QUEST_20150714_002229	Really? {nl}If you can help me, I'll do anything I can.
QUEST_20150714_002230	We've retaken the hall. {nl}Let's keep moving forward!
QUEST_20150714_002231	Quickly, let's save the abbot!
QUEST_20150714_002232	Finally, the time to retake the monastery has come.
QUEST_20150714_002233	I shall go with the Revelator. {nl}Let's do this as best as we can.
QUEST_20150714_002234	Let's run fast from the next corridor. {nl}I know you're exhausted, but hang on! We're almost there.
QUEST_20150714_002235	I'll block the monsters that are rushing in here. {nl}You and Goss move up first.
QUEST_20150714_002236	Thanks. {nl}I saw the Moheim brothers enter the monastery a while ago. {nl}Looking after the important objects is also their responsibility, so you better ask them.
QUEST_20150714_002237	I'm sorry I bothered you. {nl}The boxes are lined up inside the reception room.
QUEST_20150714_002238	So you've come. {nl}Please give me the Crystal Ball.
QUEST_20150714_002239	Darn! Until the bitter end... {nl}You two! Follow that guy! {nl}The rest of you, help me!
QUEST_20150714_002240	Concerned Jäger
QUEST_20150714_002241	Hey...! Get a hold of yourself!
QUEST_20150714_002242	Thank you. I have far too many things to do... {nl}I have to sort out the green cover pages, but I can't find any. {nl}Please look for them around the furniture inside the monastery.
QUEST_20150714_002243	For what reason did you visit this cursed city? {nl}Go back if you have none.
QUEST_20150714_002244	So, you are the famous Revelator. {nl}I have definitely heard about you before.
QUEST_20150714_002245	I shall temporarily permit your entrance. {nl}The Knights of Kaliss are looking for competent people like you.
QUEST_20150714_002246	However, all the authority here belongs to our Royal Army.{nl}Please behave well.
QUEST_20150714_002247	Saltistter? What are you talking about? {nl}Such nonsense you speak...
QUEST_20150715_002248	The Gambler of Klaipeda
QUEST_20150715_002249	Modestas admitted defeat and said he'd pay him pay back. As he was leaving the place with wagon in tow, the old alchemist broke into a strange smile that caught Modestas' attention.
QUEST_20150717_002250	Please enter the name of your companion.
QUEST_20150717_002251	Begleiter können dir im Kampf helfen.{nl}Du kannst deinen Begleiter dich beobachten lassen oder ihn spezielle Fähigkeiten beibringen.
QUEST_20150717_002252	What do you think? They make a pretty good friend, right? {nl}But, do take note that only certain classes can ride companions. {nl}
QUEST_20150717_002253	Gegenstandshändler 
QUEST_20150717_002254	I am sorry, but I can't come forward myself. {nl}It's just... if I use magic, the demons will sense it.
QUEST_20150717_002255	I will correct the disrupted magic of this tower.{nl} I will have to use magic at first so monsters will rush in. Please protect me.
QUEST_20150717_002256	I hope Goddess Gabija is safe... Let's hurry.
QUEST_20150717_002257	I don't have a good feeling about it. That vibration...{nl}Let's move quickly for now.
QUEST_20150717_002258	We can help Goddess Gabija if we have the Jewel of Prominence.
QUEST_20150717_002259	The goddess has reached her limit.{nl}We should give her the Jewel of Prominence as quickly as possible.
QUEST_20150717_002260	That vibration... It's serious.
QUEST_20150717_002261	Let's quickly go to Magie Control Room.{nl}I will be able to control the magic of the tower.
QUEST_20150717_002262	It's fortunate that the Magie Control Room is near.{nl}Let's go quickly.
QUEST_20150717_002263	My other disciple, Laius, is clever and a fast learner but has an insatiable greed for knowledge. I am worried that he may fail the task. {nl}A scholar should always try to learn, but obsessing about it will make one walk the wrong path.
QUEST_20150717_002264	Among my disciples, two of them followed me until my later years and will be my successors after my death.
QUEST_20150717_002265	Suspicious Tombstone
QUEST_20150717_002266	When small things are gathered one by one, they will one day become a great power.
QUEST_20150717_002267	Suspicious Stone Pole
QUEST_20150717_002268	The one Gabija is waiting for... has he come yet?
QUEST_20150717_002269	[Caution]{nl}- It is the last stage of the experiment. Be cautious when handling it -{nl}
QUEST_20150717_002270	1. Do not overreact Schilt Essences into a sample of Petrification Detector. {nl}2. Do not keep the Schilt Amplifier activated for a long time. {nl}3. Even if you become immune to petrification using the Schilt Amplifier, {nl}it will only be temporary, so do not stay in the lab room for too long.
QUEST_20150717_002271	[Usage Limit]{nl}- Due to a recent incident, we sealed the isolated lab room. {nl}Only people permitted by the chief can enter the room via the portal.
QUEST_20150717_002272	[Method of Usage]{nl}1. Use the Schilt Essences on the portal generator. {nl}2. One person can enter after a certain number of Essences are used. {nl}3. When more than one person enters simultaneously, please notify and ask the chief.
QUEST_20150717_002273	The flame crystals are formed here.{nl}Be careful, because you might get burned.
QUEST_20150717_002275	Story of Fire
QUEST_20150717_002276	I saw a bizarre sight at the goddess' whereabouts at the top of the tower. The bird beside Gabija, by her grace, lit up and engulfed itself in flames.{nl}
QUEST_20150717_002277	The serenely burning fire. The wings consumed by flames. Nothing else in this world has left me more in awe than that sight.{nl}
QUEST_20150729_002281	Hmm... Have the party members fully gathered yet?
QUEST_20150729_002282	Welcome to the Söldnerposten. {nl}Unfortunately... I don't have any appropriate requests for you yet.{nl}
QUEST_20150729_002283	I will give you an appropriate quest when you return with reliable comrades.{nl}If there are such requests.{nl}
QUEST_20150729_002284	There is a good request that just came in.{nl}Would you like to take it?
QUEST_20150729_002285	Anyway, that is very strange.{nl}If it was Goddess Laima's will, not just anyone could undo her seal.
QUEST_20150729_002286	Whether this revelation will become a new beacon of hope or a start of a new disaster, {nl}is indeed difficult to judge... We are thinking of continuing our investigation.
QUEST_20150729_002287	)}My son volunteered to join the army.{nl}So I have been offering my prayers to the great Goddess Ausrine.{nl}
QUEST_20150729_002288	)}Monster wurden bis zu dem Punkt vermehrt, bis die Menschen nicht mehr sicher im Wald leben können.{nl}Wenigstens ist Klaipeda noch sicher.{nl}
QUEST_20150729_002289	Maybe Goddess Ausrine gave us her protection.{nl}Isn't she the goddess who leads all other goddesses?
QUEST_20150729_002290	)}I am glad my son dreams of becoming a soldier...{nl}But the monsters keep increasing in number, and I'm worried he will be injured.
QUEST_20150729_002291	(You told him about the revelation that you found at the Crystal Mine.)
QUEST_20150729_002292	Die Morgendämmerung kommt nach der Nacht, nicht wahr? Göttin Ausrine ist diejenige, welche uns den Morgen bringt.{nl}Nicht nur das, auch wenn wir sterben gehen wir zu ihr.
QUEST_20150729_002293	Eternal life...{nl}Through Goddess Ausrine's power, my life extends for every Owl Statue I sculpt.{nl}If this old body of mine can give her strength and help the world then I am determined to carry on forever. 
QUEST_20150729_002294	Are you interested in everlasting life?{nl}Since necromancers deal with the dead, they can sense life forces, and, depending on their ability, manipulate it. {nl}If you are as good as I am, absorbing that life force to extend your own is possible.
QUEST_20150729_002295	Are you curious as to how I obtained eternal life?{nl}If stilled time is eternal, then you can consider it life everlasting.{nl}By stopping time I maintain a body that is neither aging nor dying.{nl}Whether or not quiescence can be described as eternal, I do not have an answer.
QUEST_20150729_002296	Unless during a specific window of time, {nl}recklessly touching the terminal would only bring trouble. {nl}It could release the curse.
QUEST_20150729_002297	If all that is small is gathered, they shall one day add up to a larger force.
QUEST_20150729_002298	It is said the statue of Goddess Ausrine at Klaipeda's central plaza,{nl}is related with the story of Modestas, the Gambler.
QUEST_20150729_002299	Back when the Goddess Statue was just finished, no one knew who the statue represented. {nl}Only the Dievdirbys who carved the statue and Modestas knew.
QUEST_20150729_002300	Many tried to reveal the identity of the Statue by challenging Modestas to bets, but he passed away before losing even once.
QUEST_20150729_002301	I thank you again in the name of all fate. {nl}From here on, I will follow the stars to find Goddess Ausrine.{nl}
QUEST_20150729_002302	About the Goddess Statue
QUEST_20150729_002303	You can move to your desired location with the blessings of Goddess Ausrine. 
QUEST_20150729_002304	Order's Heilig Relic
QUEST_20150729_002305	When greed and pride of men reaches its end, a Divine Tree will emerge from the ground to punish the greedy.
QUEST_20150729_002306	Coffin destroyed
QUEST_20150729_002307	Coffin has been destroyed!
QUEST_20150729_002308	A corpse walked out of the coffin!
QUEST_20150729_002309	An unknown force prevents you from getting closer.
QUEST_20150729_002310	Aiste asked the elderly beggar, {nl}'Did you by any chance pick up the Silber coins I dropped? Would you return them to me? I worked very hard everyday for those coins and really need them.'{nl}{nl}
QUEST_20150729_002311	The beggar was taken aback. Aiste was asking for the impossible. After all, finding dropped coins in Fedimian was unthinkable. {nl}The old beggar was about to explain this to Aiste but instead remarked, {nl}'I've also lost coins in this area. It would be nice if you looked for mine as you searched for yours.'{nl}{nl}
QUEST_20150729_002312	'Why don't you go to where you work and explain what happened to them? Make sure you look lost.' The beggar then hesitantly added, {nl}'In the meantime, I'll be looking for your Silber coins here.'{nl}{nl}
QUEST_20150729_002313	And so he said, {nl}'Just as you've been able to pick up all my fruit, you should be able to find your lost money at Fedimian, so do not tell me to give you a Sekunde pay.' {nl}The orchard owner's cold words brought tears to the girl's eyes. {nl}The sight broke his heart, but even so, he did not want to give her any more money. {nl}{nl}
QUEST_20150729_002314	He was soon overtaken by guilt and said, {nl}'If you really need that money, you should go to the silversmith's.'{nl}{nl}
QUEST_20150729_002315	The silversmith, after hearing Aiste's story, stated, {nl}'Even for children it is foolish to be so careless. How could you not know that all money that falls on Fedimian soil disappears, never to be found again?'{nl}{nl}
QUEST_20150729_002316	Aiste was surprised by what the silversmith said and grew sad. {nl}After a while she asked, {nl}'Then why is it that such a cruel thing happens?'{nl}{nl}
QUEST_20150729_002317	Even the silversmith did not know the true answer, so he improvised, {nl}'Goddess Zemyna must be taking them.'{nl}{nl}
QUEST_20150729_002318	Hearing those words, Aiste replied, {nl}'Then I will just have to go ask the goddess.' {nl}The silversmith was astounded and replied, {nl}'While you're at it, why don't you ask the goddess to return my silverware?'{nl}{nl}
QUEST_20150729_002319	An exhausted Aiste soon arrived at the Statue der Göttin Zemyna. {nl}She prostrated herself before it and prayed to the Goddess Statue represented, her head completely down. {nl}'Oh, goddess. Please return my lost Silber coins.' {nl}Soon, while offering her prayers, Aiste could no longer hold in her sadness and she finally wept.{nl}{nl}
QUEST_20150729_002320	How long did she pray crying? {nl}Suddenly, Aiste heard a voice addressed to her. {nl}'My child, have come to take back what you have lost?'{nl}{nl}
QUEST_20150729_002321	The goddess' voice was heard again. {nl}'Aiste, what your asking from me is not in a method I approve of. Where I reign there is no harvest nor fruits to those who do not work.'{nl}{nl}
QUEST_20150729_002322	'But I worked very hard today!'{nl}{nl}
QUEST_20150729_002323	'I know. So instead, I will give you and the others a chance. Look under your feet.'{nl}{nl}
QUEST_20150729_002324	After a number of steps, Aiste thought about the silversmith, {nl}and, again, went to his house and knocked on his door. {nl}As if the silversmith was waiting for her return, he opened the door immediately and said. {nl}'I'm sorry. I regret sending you away like that. I'll give you some Silber. {nl}This time, be careful not to drop any and get home safely.'{nl}{nl}
QUEST_20150729_002325	As the silversmith held out his Silber coins, Aiste shook her head and said,{nl}'No thank you, the goddess returned all my coins. On top of that she gave me even more. {nl}I remembered you saying you had also lost Silber, so I came to give you my extra coins. You don't need to give me yours.'{nl}{nl}
QUEST_20150729_002326	At first, the silversmith was skeptical about the coins being returned, {nl}so he was surprised when Aiste showed him genuine coins. After thinking for a while, the silversmith said, {nl}'Then how about this. You give me what you want while you accept what I was about to give you. {nl}Isn't that fair? On top of that I'll give you a pouch to carry your extra Silber.'{nl}{nl}
QUEST_20150729_002327	After leaving the silversmith's house, {nl}Aiste suddenly remembered that the old beggar must still be looking for her lost coins and worried about him. {nl}On her way to the beggar, she met the orchard owner again. {nl}Upon seeing Aiste, the orchard owner was overjoyed. {nl}'I was looking for you. I'm sorry for sending you off earlier. As an apology, I'll give you your salary again. {nl}Please be careful not to lose it this time.'{nl}{nl}
QUEST_20150729_002328	The orchard owner took out a Groß amount of coins, more than what Aiste's salary was, and handed it to her. {nl}However, Aiste shook her head and said, {nl}'Goddess Zemyna already returned my money to me. The silversmith also helped me, so now I actually have too much. {nl}Here, take a look.'{nl}{nl}
QUEST_20150729_002329	Disregarding the amount Aiste had shown him, the orchard owner said, {nl}'Well, even so, I would be ashamed for not giving you my due, so please just take it.' {nl}After saying this, the orchard owner stuffed his coins into Aiste's bag and left. {nl}By the time Aiste could muster up the energy to call the orchard owner, he was too far away.{nl}{nl}
QUEST_20150729_002330	She hesitated for a moment but then set her mind on the beggar. {nl}After a bit of walking, Aiste arrived at where they met. The old beggar spotted her first and hurried over to her. {nl}He showed her the Silber coins he was clenching onto and said, 'Look! I found your lost Silber.' {nl}Aiste received the beggar's Silber and then showed the beggar her bag and said, {nl}'Look, I found your Silber coins too.'{nl}{nl}
QUEST_20150729_002331	After that, Aiste also held out her bag and said, {nl}'This is a gift as thanks for looking for my Silber. I was given this through Goddess Zemyna's grace.' {nl}Aiste then left before the Old Beggar could figure out how to reply.{nl}{nl}
QUEST_20150729_002332	Over the jingling sound of gold, the old woman muttered. {nl}'If these two pieces of gold could ever marry, the baby gold would make me rich... but there's no life in these things...' {nl}Modestas heard those words, and decided to comment. {nl}'That gold won't make you rich by itself, so just put it into something worthwhile. {nl}Do you really think muttering at baby gold will do something?'{nl}
QUEST_20150729_002333	The old woman spoke plainly, 'Why not? If this way bears fruit, it'll be safe and secure.' {nl}'That's ridiculous. You should do what I do and gamble.' {nl}The woman was incensed.{nl}
QUEST_20150729_002334	'So, you think your betting ways are better?' {nl}'Why wouldn't I? There are moments where I could win or lose, but your way won't make any gold at all.' {nl}With Modestas' words, the old woman paused in thought. Finally, she said, {nl}'Then let's have a bet.'{nl}
QUEST_20150729_002335	The disturbing aura around her grew as soon as the offer reached Modestas' ears. He couldn't outright refuse. {nl}'What kind of bet?' {nl}'We'll see whether your way or my way will make us richer.' {nl}'And if I lose?'{nl}
