SKILL_20150317_000001	Angriff
SKILL_20150317_001005	Increases your attack when you use consecutive basic attacks on the target.
SKILL_20150317_001006	Angriff: +#{CaptionRatio}#{nl}Maximum Stacks: #{CaptionRatio2}#{nl}Dauer: #{CaptionTime}# Sekunden
SKILL_20150317_001007	Aggressor
SKILL_20150317_001008	Your attacks are guaranteed to hit, but your Critical Rate and Critical Evasion decreases.
SKILL_20150317_001009	Kritchance: -#{CaptionRatio}#%{nl}Critical Evasion: -#{CaptionRatio}#%{nl}Dauer: #{CaptionTime}# Sekunden
SKILL_20150317_001010	Savagery
SKILL_20150317_001011	While the buff is active, a continuous attack bonus applies to {#DD5500}{ol}[Stich]{/}{/} attacks.
SKILL_20150317_001012	{#DD5500}{ol}[Stich]{/}{/}Continuous Attack Bonus {nl} Dauer: #{CaptionTime}# Sekunden
SKILL_20150317_001013	Warcry
SKILL_20150317_001014	Reduces the nearnach target's defense and add it to your attack.
SKILL_20150317_001015	Ziele: #{CaptionRatio}#{nl}Maximum Physische Verteidigung: -#{CaptionRatio2}#{nl}Dauer: #{CaptionTime}# Sekunden
SKILL_20150317_001016	Stomping Kick
SKILL_20150317_001017	{#DD5500}{ol}[Schlag]{/}{/}{nl} Stomp down on a target while airborne.
SKILL_20150317_001018	Weapon Maintenance
SKILL_20150317_001019	Open a shop to repair weapons.
SKILL_20150317_001020	Rüstung Maintenance
SKILL_20150317_001021	Open a shop to repair armor.
SKILL_20150317_001022	Repair
SKILL_20150317_001023	Use your shield to interfere with an enemy nach pushing it down.
SKILL_20150317_001024	Arrest
SKILL_20150317_001025	Jolly Roger
SKILL_20150317_001026	Iron Hook
SKILL_20150317_001027	Keel Hauling
SKILL_20150317_001028	Unlock Chest
SKILL_20150317_001029	Cancel Sub Weapon
SKILL_20150317_001030	{#DDD300}{ol}[Buff]{/}{/}{nl} While the buff is active, a continuous attack bonus bonus applies to {#CC3300}{ol}[Stich]{/}{/} attacks.
SKILL_20150317_001031	Dauer: #{CaptionTime}# Sekunden{nl} Consumes #{SpendSP}# SP
SKILL_20150317_001032	Conscript
SKILL_20150317_001033	Phalanx
SKILL_20150317_001034	Tercio
SKILL_20150317_001035	Winged Formation
SKILL_20150317_001036	Wedge Formation
SKILL_20150317_001037	Schiltron Formation
SKILL_20150317_001038	Testudo
SKILL_20150317_001039	Skirmisher
SKILL_20150317_001040	Change Direction
SKILL_20150317_001041	Deeds of Valor
SKILL_20150317_001042	Increases your attack speed and attack rate when attacked, while decreasing your defense.
SKILL_20150317_001043	Pain Barrier
SKILL_20150317_001044	Increased Movement Speed +#{CaptionTime}# for #{CaptionRatio}#% Sekunden
SKILL_20150317_001045	Mordschlag
SKILL_20150317_001046	{#CC3300}{ol}[Stich]{/}{/} Attribute{nl}Schaden #{SkillFactor}#%{nl}Splash #{SkillSR}#{nl} Consumption SP #{SpendSP}#
SKILL_20150317_001047	Double Pay Earn
SKILL_20150317_001048	Three times of hit damage
SKILL_20150317_001049	Punish
SKILL_20150317_001050	Cyclone
SKILL_20150317_001051	Inflicts damage nach releasing a powerful spinning attack to nearnach enemies.
SKILL_20150317_001052	Lv.1 Attack Rate #{SkillFactor}#, Splash 3Lv.2 Attack Rate #{SkillFactor}#, Splash 6Lv.3 Attack Rate #{SkillFactor}#, Splash 9Lv.4 Attack Rate #{SkillFactor}#, Splash 12Lv.5 Attack Rate #{SkillFactor}#, Splash 15
SKILL_20150317_001053	Selfdestruct
SKILL_20150317_001054	Shadow Clone
SKILL_20150317_001055	Prepare for Attack
SKILL_20150317_001056	Murmillo 1
SKILL_20150317_001057	Murmillo 2
SKILL_20150317_001058	Defend yourself against attacks from enemies.
SKILL_20150317_001059	Buff Dauer: #{CaptionTime}#sec{nl}#Parring Chance: {CaptionRatio}#%
SKILL_20150317_001060	Use shoulder to tackle and push away enemy
SKILL_20150317_001061	{#CC3300}{ol}[Schlag]{/}{/} Attribute{nl} Attack #{SkillFactor}#%+#{SkillAtkAdd}#{nl}Splash #{SkillSR}#{nl} SP Consumed #{SpendSP}#
SKILL_20150317_001062	Increase Knockdown Power
SKILL_20150317_001063	Use chain to capture and fling nearnach enemy.
SKILL_20150317_001064	Curse
SKILL_20150317_001065	Energy Bolt
SKILL_20150317_001066	{#993399}{ol}[Magic]{/}{/}{nl} Attack a target with powerful energy.
SKILL_20150317_001067	Attack #{SkillAtkAdd}#{nl}Cast Time 1 Sekunde{nl}Splash #{SkillSR}#
SKILL_20150317_001068	Lethargy
SKILL_20150317_001069	Inflict lethargy upon the target.
SKILL_20150317_001070	Physical Angriff: -#{CaptionRatio}#{nl}Magic Angriff: -#{CaptionRatio}#{nl}Evasion: -#{CaptionRatio2}#{nl}{#339999}{ol}[Lethargy]{/}{/} Dauer: #{CaptionTime}# Sekunden
SKILL_20150317_001071	Sleep
SKILL_20150317_001072	Inflicts sleep upon targets. Enemies will awake upon taking a certain number of hits, or once sleep runs out.
SKILL_20150317_001073	{#339999}{ol}[Sleep]{/}{/} Dauer: #{SkillFactor}# Sekunden{nl}Attack Threshold: #{CaptionRatio}#
SKILL_20150317_001074	Reflect Shield
SKILL_20150317_001075	Creates a protective shield that reflects the amplified damage to the target.
SKILL_20150317_001076	Schaden Reflection: #{CaptionRatio}#{nl}Dauer: #{CaptionTime}# Sekunden{nl}Reflects #{CaptionRatio2}# times
SKILL_20150317_001077	Earthquake
SKILL_20150317_001078	{#993399}{ol}[Magic] - [Earth]{/}{/}{nl} Inflicts damage on an enemy nach creating a powerful earthquake in front of you.
SKILL_20150317_001079	Surespell
SKILL_20150317_001080	Skills being cast cannot be interrupted nach enemy attacks.
SKILL_20150317_001081	Dauer: #{CaptionTime}# Sekunden
SKILL_20150317_001082	Magic Missile
SKILL_20150317_001083	{#993399}{ol}[Magic]{/}{/}{nl} Fires Magic Missiles at the target
SKILL_20150317_001084	Attack #{SkillAtkAdd}#{nl}3 Magic Missiles
SKILL_20150317_001085	Quick Cast
SKILL_20150317_001086	Cast Time decreased.
SKILL_20150317_001087	Cast Time: -#{CaptionRatio}#%{nl}Dauer: #{CaptionTime}# Sekunden
SKILL_20150317_001088	Fireball
SKILL_20150317_001089	{#993399}{ol}[Magic] - [Fire]{/}{/}{nl} Summons a stationary fireball. You can blow it up nach hitting it with a sword attack.
SKILL_20150317_001090	Angriff: #{SkillAtkAdd}#{nl}Attack Count: #{SkillSR}#{nl}Dauer: #{CaptionTime}# Sekunden
SKILL_20150317_001091	Fire Wall
SKILL_20150317_001092	{#993399}{ol}[Magic] - [Fire]{/}{/}{nl} Creates a flame barrier inflicting damage to nearnach enemies.
SKILL_20150317_001093	Attack #{SkillAtkAdd}#{nl}#{CaptionRatio}# Fire Wall #{nl}Attack #{CaptionRatio2}# times{nl}Duration 15 Sekunden
SKILL_20150317_001094	Enchant Fire
SKILL_20150317_001095	Grants Fire property to the target. Additional damage applies to your basic attack.
SKILL_20150317_001096	Fire Property Angriff: +#{CaptionRatio}#{nl}Additional Schaden: +#{CaptionRatio2}#{nl}Dauer: #{CaptionTime}# Sekunden
SKILL_20150317_001097	Flare
SKILL_20150317_001098	{#993399}{ol}[Magic] - [Fire]{/}{/}{nl} Inflicts damage nach exploding the enemy affected nach a status effect. This excludes both petrified and frozen status effects.
SKILL_20150317_001099	Attack #{SkillAtkAdd}#
SKILL_20150317_001100	Fire Pillar
SKILL_20150317_001101	{#993399}{ol}[Magic] - [Fire]{/}{/}{nl}Summon a fire pillar to damage a target.
SKILL_20150317_001102	Angriff: #{SkillAtkAdd}#{nl}Dauer: #{CaptionTime}# Sekunden
SKILL_20150317_001103	Hell Breath
SKILL_20150317_001104	{#993399}{ol}[Magic] - [Fire]{/}{/}{nl} Continuously burn enemies with a cone of fire.
SKILL_20150317_001105	Attack #{SkillAtkAdd}#{nl}Consume #{CaptionRatio}#% SP per 0.5 Sekunden
SKILL_20150317_001106	Ice Bolt
SKILL_20150317_001107	{#993399}{ol}[Magic] - [Ice] - [Stich]{/}{/}{nl} Inflicts damage to a target nach launching a bolt of ice and has a chance to freeze the the target.
SKILL_20150317_001108	Attack #{SkillAtkAdd}#{nl}{#339999}{ol}[Frozen]{/}{/} Duration 3 Sekunden
SKILL_20150317_001109	Ice Spieß
SKILL_20150317_001110	{#993399}{ol}[Magic] - [Ice] - [Stich] {/} {/}} {nl} Inflicts damage to a target nach launching a wave of ice and has a chance to freeze the target.
SKILL_20150317_001111	Attack #{SkillAtkAdd}#{nl}{#339999}{ol}[Frozen]{/}{/} Duration 4 Sekunden
SKILL_20150317_001112	Create a barrier of ice with a chance to freeze enemies.
SKILL_20150317_001113	Ice Wall #{CaptionRatio}# {nl}{#339999}{ol}[Ice]{/}{/}{nl} Duration 3 Sekunden {nl} Ice Wall Duration 10 Sekunden
SKILL_20150317_001114	Ice Blast
SKILL_20150317_001115	{#993399}{ol}[Magic] - [Ice]{/}{/}{nl} Inflicts damage nach shattering a frozen target.
SKILL_20150317_001116	{#339999}{ol}[Ice]{/}{/} Attacks to Ziele #{SkillAtkAdd}#
SKILL_20150317_001117	Create a wall of ice to temporarily defend yourself against attacks from enemies.
SKILL_20150317_001118	Enemies attacked {#339999}{ol}[Ice]{/}{/}Rate 50% {nl} {#339999}{ol}[Ice]{/}{/}Duration 3 Sekunden
SKILL_20150317_001119	Gust
SKILL_20150317_001120	Creates a gust of wind that pushes the target away. Inflicts damage on targets that are frozen or nearnach an Ice Wall.
SKILL_20150317_001121	Frost Pillar
SKILL_20150317_001122	Summons a tree of ice on the ground that pulls nearnach enemies in and has a chance of freezing them.
SKILL_20150317_001123	Chance to {#339999}{ol}[Freeze]{/}{/}: #{CaptionRatio}#%{nl}Dauer: #{CaptionTime}# Sekunden
SKILL_20150317_001124	Psychic Pressure
SKILL_20150317_001125	{#993399}{ol}[Magic]{/}{/}{nl}Inflicts continuous damage to targets in front of you.
SKILL_20150317_001126	Attack #{SkillAtkAdd}#{nl}Splash #{CaptionRatio}#{nl}Consume #{CaptionRatio2}#% of SP per Sekunde.
SKILL_20150317_001127	Telekinesis
SKILL_20150317_001128	{#993399}{ol}[Magic]{/}{/}{nl}Captures targets in front of you using psychokinesis.{nl}Inflicts damage nach throwing the captured target to a direction using your arrow keys. 
SKILL_20150317_001129	Angriff: #{SkillAtkAdd}#{nl}Attack Count: #{CaptionRatio}#{nl}Dauer: #{CaptionTime}# Sekunden
SKILL_20150317_001130	Swap
SKILL_20150317_001131	Swaps your position with that of the enemy.
SKILL_20150317_001132	Ziele #{CaptionRatio}#{nl}Limited Range 20{nl}
SKILL_20150317_001133	Teleportation
SKILL_20150317_001134	Teleports you to a random location.
SKILL_20150317_001135	Maximum Teleport Distance #{CaptionRatio}#
SKILL_20150317_001136	Magnetic Force
SKILL_20150317_001137	{#993399}{ol}[Magic]{/}{/}{nl}Inflicts damage nach drawing in the target at a targeted area. 
SKILL_20150317_001138	Raise
SKILL_20150317_001139	Lift targets into the air.
SKILL_20150317_001140	Ziele: #{CaptionRatio}#{nl}Dauer: #{CaptionRatio2}# Sekunden
SKILL_20150317_001141	Gravity Pole
SKILL_20150317_001142	Create a gravitational field that pulls all nearnach enemies.
SKILL_20150317_001143	Target #{CaptionRatio}#{nl}Max. duration 5 Sekunden
SKILL_20150317_001144	Unbind
SKILL_20150317_001145	Disconnect all links.
SKILL_20150317_001146	Disconnect all links at once.{nl}Maximum Level: 1
SKILL_20150317_001147	Physical Link
SKILL_20150317_001148	Link party members to divide damage taken.
SKILL_20150317_001149	More links results to less damage{nl} Max. Link #{CaptionRatio}#{nl}Dauer: #{CaptionTime}# Sekunden{nl}Consume 16% Stamina
SKILL_20150317_001150	Joint Penalty
SKILL_20150317_001151	Link enemies together. Schaden inflicted on one linked enemy is inflicted upon all linked ones.
SKILL_20150317_001152	Maximum Links: #{SkillFactor}#{nl}Dauer: #{CaptionTime}# Sekunden
SKILL_20150317_001153	Hangman's Knot
SKILL_20150317_001154	Groups together all linked enemies.
SKILL_20150317_001155	Gather time of 0.3 Sekunden
SKILL_20150317_001156	Spiritual Chain
SKILL_20150317_001157	Link party members and share buff effects.
SKILL_20150317_001158	Umbilical Cord
SKILL_20150317_001159	Share defense and HP with the linked target.
SKILL_20150317_001160	Physische Verteidigung Transfer: #{CaptionRatio}#{nl}HP Recovery Transfer: #{CaptionRatio2}#{nl}Dauer: #{CaptionTime}# Sekunden
SKILL_20150317_001161	Swell Left Arm
SKILL_20150317_001162	Increases your attack nach enlarging your left hand.
SKILL_20150317_001163	Physical Angriff: +#{CaptionRatio}#{nl}Magic Angriff: +#{CaptionRatio}#{nl}Dauer: #{CaptionTime}# Sekunden
SKILL_20150317_001164	Shrink Body
SKILL_20150317_001165	Shrinks the size of a target's body.
SKILL_20150317_001166	Groß → Medium → Klein {nl}Dauer: #{CaptionTime}# Sekunden
SKILL_20150317_001167	Swell Body
SKILL_20150317_001168	Enlarges the size of a target's body. 
SKILL_20150317_001169	Klein → Medium → Groß {nl}Dauer: #{CaptionTime}# Sekunden
SKILL_20150317_001170	Transpose
SKILL_20150317_001171	Temporarily replaces your INT and CON.
SKILL_20150317_001172	Reversi
SKILL_20150317_001173	Changes the enemy's magic square to a friendly magic square. 
SKILL_20150317_001174	Changes the enemy's magic circle to friendly at a targeted area.{nl}Maximum Level: 1
SKILL_20150317_001175	Swell Right Arm
SKILL_20150317_001176	Increases your attack nach enlarging your right hand.
SKILL_20150317_001177	Swell Brain
SKILL_20150317_001178	Enlarges your head. 
SKILL_20150317_001179	Electrocute
SKILL_20150317_001180	{#993399}{ol}[Magic] - [Lightningity]{/}{/}{nl}Shoot lightning that chains between nearnach enemies.
SKILL_20150317_001181	Attack #{SkillAtkAdd}#{nl}Target #{CaptionRatio}#
SKILL_20150317_001182	Stone Curse
SKILL_20150317_001183	Petrify target.
SKILL_20150317_001184	Dauer: #{CaptionTime}# Sekunden{nl}Splash: #{CaptionRatio}#
SKILL_20150317_001185	Hail
SKILL_20150317_001186	{#993399}{ol}[Magic] - [Ice]{/}{/}{n}Shards of ice fall upon the targeted area and damage enemies.
SKILL_20150317_001187	Prominence
SKILL_20150317_001188	{#993399}{ol}[Magic] - [Fire]{/}{/}{nl}Swathes of fire appear around you. Fire randomly moves and damage enemies.
SKILL_20150317_001189	Attack #{SkillAtkAdd}#{nl}Duration 15 Sekunden
SKILL_20150317_001190	Meteor
SKILL_20150317_001191	{#993399}{ol}[Magic] - [Fire]{/}{/}{nl}Drop a meteor on the targeted area to damage enemies.
SKILL_20150317_001192	Attack #{SkillAtkAdd}#{nl}Cast Time #{CaptionTime}# Sekunden{nl}Splash #{SkillSR}#
SKILL_20150317_001193	Summoning
SKILL_20150317_001194	Summon spirits that follow you.
SKILL_20150317_001195	Attack Ground
SKILL_20150317_001196	Summoned being moves to target area and attacks enemies nearnach.
SKILL_20150317_001197	Riding
SKILL_20150317_001198	Ride on top of summoned spirit.
SKILL_20150317_001199	Morph
SKILL_20150317_001200	Quicken
SKILL_20150317_001201	Give buff that increases movement speed to 1 ally.
SKILL_20150317_001202	Reincarnate
SKILL_20150317_001203	Respawns the monster immediately after it is killed.
SKILL_20150317_001204	{#6644FF}{ol}[Fire]{/}{/}Attribute {nl} Attack #{SkillFactor}#% + #{SkillAtkAdd} per 0.5 Sekunden# damage {nl} Duration 10 Sekunden {nl}Consume #{{nl} SpendSP}# SP
SKILL_20150317_001205	Stop
SKILL_20150317_001206	Monsters hold their current state. All monsters in the area will stop their actions.
SKILL_20150317_001207	Slow
SKILL_20150317_001208	Movement Speed -#{CaptionRatio}#%{nl}Slow Dauer: 5 Sekunden {nl}Consumes #{SpendSP}# SP
SKILL_20150317_001209	Haste
SKILL_20150317_001210	Backmasking
SKILL_20150317_001211	Reverses time in target area to a previous state.
SKILL_20150317_001212	Gather Corpse
SKILL_20150317_001213	Gather body parts from enemies killed in target area.
SKILL_20150317_001214	Create Shoggoth
SKILL_20150317_001215	Use corpses to summon a Shoggoth from the necronomicon.
SKILL_20150317_001216	Flesh Cannon
SKILL_20150317_001217	Throw dead parts at target area.
SKILL_20150317_001218	Flesh Hoop
SKILL_20150317_001219	Surround yourself with wall of corpses that inflict damage on monsters within radius.
SKILL_20150317_001220	Dirty Wall
SKILL_20150317_001221	Disinter
SKILL_20150317_001222	Combustion
SKILL_20150317_001223	Magic Pavise
SKILL_20150317_001224	Dig
SKILL_20150317_001225	Roasting
SKILL_20150317_001226	Briquetting
SKILL_20150317_001227	Tincturing
SKILL_20150317_001228	Magnum Opus
SKILL_20150317_001229	Create magic barrier on target area that blocks enemy attacks.
SKILL_20150317_001230	Lv.1 Duration #{CaptionTime}# Sekunden, block 6 times, Maximum Ziele: #{CaptionRatio}# Lv.2 Duration #{CaptionTime}# Sekunden, block 6 times, Maximum Ziele: #{CaptionRatio}# Lv.3 Duration #{CaptionTime}# Sekunden, block 6 times, Maximum Ziele: #{CaptionRatio}#
SKILL_20150317_001231	Create an area of fog in front. Accuracy of enemies located in the fog decrease.
SKILL_20150317_001232	Duration #{CaptionTime}# Sekunden, Accuracy -#{CaptionRatio}#%{nl}Consume #{SpendSP}# SP
SKILL_20150317_001233	Shock the enemies under [Freeze] nearnach and inflict damage.
SKILL_20150317_001234	Lv.1 Attack rate #{SkillFactor}#, Splash #{SkillSR}# Lv.2 Attack rate #{SkillFactor}#, Splash #{SkillSR}# Lv.3 Attack rate #{SkillFactor}#, Splash #{SkillSR}# Lv.4 Attack rate #{SkillFactor}#, Splash #{SkillSR}# Lv.5 Attack rate #{SkillFactor}#, Splash #{SkillSR}#
SKILL_20150317_001235	Apply [Curse] to the target and reduce its defense
SKILL_20150317_001236	Lv.1 Defense, Magic Resistance: -#{CaptionRatio}#% {nl}Dauer: #{CaptionTime}# Sekunden Lv.2 Defense, Magic Resistance: -#{CaptionRatio}#% {nl}Dauer: #{CaptionTime}# Sekunden Lv. 3 Defense, Magic Resistance: -#{CaptionRatio}#% {nl}Dauer: #{CaptionTime}# Sekunden Lv.4 Defense, Magic Resistance: -#{CaptionRatio}#% {nl}Dauer: #{CaptionTime}# Sekunden Lv.5 Defense, Magic Resistance: -#{CaptionRatio}#% {nl}Dauer: #{CaptionTime}# Sekunden
SKILL_20150317_001237	Inflicts damage on targets who are affected nach [Curse]. Every 3rd attack inflicts greater damage.
SKILL_20150317_001238	Lv.1 Attack Rate: #{SkillFactor}#, Attack Rate every 3rd attack: #{CaptionRatio}#{nl}Range: #{Arg1}# Lv.2 Attack Rate: #{SkillFactor}#, Attack Rate every 3rd attack: #{CaptionRatio}#{nl}Range: #{Arg1}# Lv.3 Attack Rate: #{SkillFactor}#, Attack Rate every 3rd attack: #{CaptionRatio}#{nl}Range: #{Arg1}# Lv.4 Attack Rate: #{SkillFactor}#, Attack Rate every 3rd attack: #{CaptionRatio}#{nl}Range: #{Arg1}# Lv.5 Attack Rate: #{SkillFactor}#, Attack Rate every 3rd attack: #{CaptionRatio}#{nl}Range: #{Arg1}#
SKILL_20150317_001239	Inflicts damage to nearnach enemies nach summoning an aura of [Addiction].
SKILL_20150317_001240	Lv.1 Attack Rate #{SkillFactor}# of damage every 0.5 Sekunden {nl}Dauer: #{CaptionTime}# Sekunden Lv.2 Attack Rate every #{SkillFactor}# of damage every 0.5 Sekunden {nl}Duration #{CaptionTime}# Sekunden Lv.3 attack rate every #{SkillFactor}# of damage every 0.5 Sekunden {nl}Dauer: #{CaptionTime}# Sekunden Lv.4 Attack Rate every #{SkillFactor}# of damage every 0.5 Sekunden {nl}Dauer: #{CaptionTime}# Sekunden Lv.5 Attack Rate every #{SkillFactor}# of damage every 0.5 Sekunden {nl}Dauer: #{CaptionTime}# Sekunden
SKILL_20150317_001241	Draw the Noir of War on the ground. Increases STR and INT of active allies.
SKILL_20150317_001242	Lv.1 STR, INT: +#{CaptionRatio2}#, Maximum Ziele: #{CaptionRatio}#{nl} Skill Dauer: #{CaptionTime}# Sekunden, Buff duration 2 minutes Lv.2 STR, INT: +#{CaptionRatio2}#, Maximum Ziele: #{CaptionRatio}#{nl} Skill Dauer: #{CaptionTime}# Sekunden, Buff duration 2 minutes Lv.3 STR, INT: +#{CaptionRatio2}#, Maximum Ziele: #{CaptionRatio}#{nl} Skill Dauer: #{CaptionTime}# Sekunden, Buff duration 2 minutes Lv.4 STR, INT: +#{CaptionRatio2}#, Maximum Ziele: #{CaptionRatio}#{nl} Skill Dauer: #{CaptionTime}# Sekunden, Buff duration 2 minutes Lv. 5 STR, INT: +#{CaptionRatio2}#, Maximum Ziele: #{CaptionRatio}#{nl} Skill Dauer: #{CaptionTime}# Sekunden, Buff duration 2 minutes
SKILL_20150317_001243	Draw the Noir of Death on ground. Increases CON and AGI of active allies.
SKILL_20150317_001244	Lv.1 CON, AGI: +#{CaptionRatio2}#, Maximum Ziele: #{CaptionRatio}#{nl}Skill Dauer: #{CaptionTime}# Sekunden, Buff duration 2 minutes Lv.2 CON, AGI: +#{CaptionRatio2}#, Applies to a maximum of #{CaptionRatio}# players{nl} Skill Dauer: #{CaptionTime}# Sekunden, Buff duration 2 minutes Lv.3 CON, AGI: +#{CaptionRatio2}#, Maximum Ziele: #{CaptionRatio}#{nl} Skill Dauer: #{CaptionTime}# Sekunden, Buff duration 2 minutes Lv.4 CON, AGI: +#{CaptionRatio2}#, Maximum Ziele: #{CaptionRatio}#{nl} Skill Dauer: #{CaptionTime}# Sekunden, Buff duration 2 minutes Lv. 5 CON, AGI: +#{CaptionRatio2}#, Maximum Ziele: #{CaptionRatio}#{nl} Skill Dauer: #{CaptionTime}# Sekunden, Buff duration 2 minutes
SKILL_20150317_001245	Currently in development
SKILL_20150317_001246	Summon magic circle that heals allies.
SKILL_20150317_001247	Marble
SKILL_20150317_001248	Black Hole
SKILL_20150317_001249	Change HP and SP and create defense shield.
SKILL_20150317_001250	Change HP and SP, Create defense shield of #{CaptionTime}% of MHP for # Sekunden
SKILL_20150317_001251	Erhöht vorrübergehend dein Angriff und SP-Verbrauch aller Skills.
SKILL_20150317_001252	Angriff + #{CaptionRatio}#%{nl}SP consumed +50% {nl}Duration 30 Sekunden{nl}Consume #{SpendSP}# SP
SKILL_20150317_001253	All the enemies of the target region are gathered together and damaged.
SKILL_20150317_001254	Duration #{CaptionTime}# Sekunden, Defend 6 times, Maximum Ziele: #{CaptionRatio}#
SKILL_20150317_001255	Surround target with powerful energy. Inflict damage to those nearnach target.
SKILL_20150317_001256	Angriffsrate #{SkillFactor}#, Splash #{SkillSR}#
SKILL_20150317_001257	Drop meteor around and inflict [Fire] damage on enemies.
SKILL_20150317_001258	[Fire] [Schlag] Schaden + #{SkillFactor}#{nl} meteor count #{CaptionRatio}#{nl} Dog Splash #{SkillSR}#{nl} consumption SP #{SpendSP}#
SKILL_20150317_001259	Freeze enemy.
SKILL_20150317_001260	Countdown
SKILL_20150317_001261	Turn back time of allies. HP, SP, STA, Skill cool
SKILL_20150317_001262	Summon spirit that attacks while moving.
SKILL_20150317_001263	Use your own demon to inflict damage to nearnach enemies.
SKILL_20150317_001264	Spirit receives all the damage of summoner.
SKILL_20150317_001265	Create clone of yourself and move away from area after using skill.
SKILL_20150317_001266	Buff for adding attack speed
SKILL_20150317_001267	Make ground skill of enemies be usable nach allies.
SKILL_20150317_001268	test
SKILL_20150317_001269	Multi Shot
SKILL_20150317_001270	{#DD5500}{ol}[Physisch] - [Geschoss]{/}{/}{nl}Charge up and then quickly launch multiple shots at a targeted area.
SKILL_20150317_001271	Angriff: #{SkillAtkAdd}#{nl}Number of Shots: #{CaptionRatio}#
SKILL_20150317_001272	Full Draw
SKILL_20150317_001273	{#DD5500}{ol}[Physisch] - [Stich]{/}{/}{nl}Fire a shot that can skewer enemies together.
SKILL_20150317_001274	Angriff: #{SkillAtkAdd}#{nl}{#339999}{ol}[Schräg]{/}{/} Dauer: #{CaptionTime}# Sekunden
SKILL_20150317_001275	Kneeling Shot
SKILL_20150317_001276	{#DD5500}{ol}[Physisch] - [Stich]{/}{/} {nl}Kneel to increase attack speed, damage, and range.
SKILL_20150317_001277	Physischer Schaden + #{CaptionRatio}#{nl} Range + #{CaptionRatio2}#
SKILL_20150317_001278	Swift Step
SKILL_20150317_001279	Increase movement speed while attacking.
SKILL_20150317_001280	Bewegungsschuss Bewegungsgeschwindigkeit: +#{SkillFactor}#%{nl}Verteidigung: -#{CaptionRatio}#{nl}Dauer: #{CaptionTime}# Sekunden
SKILL_20150317_001281	Oblique Shot
SKILL_20150317_001282	{#DD5500}{ol}[Physisch] - [Stich]{/}{/}{nl}Fire an arrow that bounces off of the target to hit an adjacent enemy.
SKILL_20150317_001283	Attack #{SkillAtkAdd}#{nl}Abprallender Pfeilschaden #{CaptionRatio}#%
SKILL_20150317_001284	Barrage
SKILL_20150317_001285	{#DD5500}{ol}[Physisch] - [Stich]{/}{/}{nl}Shoot 5 arrows forward in an arc towards the ground.
SKILL_20150317_001286	High Anchoring
SKILL_20150317_001287	{#DD5500}{ol}[Physisch] - [Stich]{/}{/}{nl}Zieht die Bogensehne für einen starken Pfeilschuss zurück, welcher in Feinde eindringt.
SKILL_20150317_001288	Critical Shot
SKILL_20150317_001289	{#DD5500}{ol}[Physisch] - [Stich]{/}{/}{nl}Shoot arrow to target with high chance of critical.
SKILL_20150317_001290	Attack #{SkillAtkAdd}#{nl}Zusätzliche Kritchance 50%
SKILL_20150317_001291	Steady Aim
SKILL_20150317_001292	Angriffsstärke erhöht aber Angriffsgeschwindigkeit verringert.
SKILL_20150317_001293	Additional Schaden: +#{CaptionRatio}#{nl}Attack Speed: -#{CaptionRatio2}#% {nl}Dauer: 40 Sekunden
SKILL_20150317_001294	Time Bomb Pfeil
SKILL_20150317_001295	{#DD5500}{ol}[Physisch] [Schlag]{/}{/}{nl}Hang a bomb on an arrow and shoot it at an enemy.
SKILL_20150317_001296	Angriff: #{SkillAtkAdd}#{nl}Bomb Dauer: 5 Sekunden
SKILL_20150317_001297	Bounce Shot
SKILL_20150317_001298	{#DD5500}{ol}[Physisch] - [Stich]{/}{/}{nl}Shoot an arrow that bounces off the target to hit nearnach enemies.
SKILL_20150317_001299	Pfeil Sprinkle
SKILL_20150317_001300	{#DD5500}{ol}[Physisch] - [Stich]{/}{/}{nl}Jump backwards while shooting multiple arrows forward.
SKILL_20150317_001301	Attacke #{SkillAtkAdd}#{nl}Attacke 5 mal
SKILL_20150317_001302	Spiral Pfeil
SKILL_20150317_001303	Buffs your next attack to do an additional hit.
SKILL_20150317_001304	Continuous Attacks: #{CaptionRatio}#{nl}Dauer: 10 Sekunden
SKILL_20150317_001305	Deploy Pavise
SKILL_20150317_001306	Install a Pavise on the ground to defend against projectiles.
SKILL_20150317_001307	Defend range projectile #{SkillFactor}# times{nl}Pavise duration #{CaptionTime}# Sekunden
SKILL_20150317_001308	Scatter Caltrops
SKILL_20150317_001309	{#DD5500}{ol}[Physisch] - [Stich]{/}{/}Throw caltrops on the ground to damage and slow down enemies that step on them.
SKILL_20150317_001310	Attack #{SkillAtkAdd}#{nl}Throw #{CaptionRatio2}#{nl}Caltrop duration 20 Sekunden{nl}{#339999}{ol}[Slow]{/}{/} Duration 10 Sekunden
SKILL_20150317_001311	Stone Picking
SKILL_20150317_001312	Pick up stone projectiles found on the field. Cannot be obtained in town.
SKILL_20150317_001313	Obtainable Stone Bullets: #{SkillFactor}#
SKILL_20150317_001314	Stone Shot
SKILL_20150317_001315	{#DD5500}{ol}[Physisch] [Schlag]{/}{/}{nl}Fire stone bullet and push away enemy. The target has a chance to become afflicted with [Stun].
SKILL_20150317_001316	Attack #{SkillAtkAdd}#{nl}{#339999}{ol}[Stun]{/}{/} Duration #{CaptionRatio2}# Sekunden{nl}Use 1 stone bullet
SKILL_20150317_001317	Rapid Fire
